refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
ACSM4	11	20	3	4	1	13	20	3	11	14	18	25	6	2
DPPA3	0	0	2	2	4	2	2	2	2	0	0	4	4	0
SLC2A14	291	457	239	253	404	493	98	321	163	250	317	228	284	505
LINC00937	8	6	0	10	0	8	60	10	4	6	17	19	4	23
PZP	9	12	0	6	3	10	2	3	19	4	5	8	14	6
RIMKLB	5738	4193	10145	4649	4336	5379	5422	8292	5947	14447	8070	9210	5075	5945
CLEC1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100506159	0	0	0	0	0	0	0	0	0	5	0	0	0	0
CLEC2D	6712	3505	4495	4013	8963	5121	2773	8986	6408	4308	3612	4084	6379	5079
PRH1	153	162	166	185	160	159	163	144	144	132	131	172	76	185
KLRA1P	445	488	386	392	466	759	297	604	652	679	419	867	502	426
PRH1-PRR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRH1-TAS2R14	96	148	119	166	131	175	104	118	145	144	126	153	85	137
ETV6	4770	3394	6908	3724	5395	5089	5729	9910	6115	5976	4245	4160	5595	5105
LRP6	6590	6607	9112	8804	12165	9716	3710	13902	7680	7306	5764	6033	8897	7530
DDX47	5409	3539	5653	3776	10476	3993	2815	8889	7369	4889	3733	4125	6652	4031
GSG1	48	25	72	53	82	40	10	24	63	23	27	29	92	24
EMP1	9061	7203	5213	5332	7976	9180	2030	6008	4740	3849	6657	3279	11648	7858
DUSP16	2213	1672	3209	2479	2440	3222	1705	7343	2932	3576	2136	2903	2942	3380
GPR19	67	18	31	36	89	60	2	31	61	15	27	33	67	31
GRIN2B	43	9	45	8	20	7	19	36	16	3	20	53	31	37
ATF7IP	6216	8156	9202	9604	10194	8834	6223	14549	7866	8769	7611	8688	9861	10566
ERP27	3	6	20	27	13	46	25	21	10	6	7	14	8	2
RERG	34	168	49	660	337	407	23	69	77	8	38	23	49	207
WBP11	4714	2731	4326	2965	6473	3941	2310	5473	4363	3065	3020	2917	5035	3229
GUCY2C	26	9	25	4	6	10	21	62	11	15	12	32	26	16
MGST1	2634	1934	2762	3421	5251	2028	1309	3498	6304	2631	3110	2136	5059	5568
DERA	2337	1144	2262	1409	3099	1653	1492	4368	2409	1724	1241	1598	3203	1746
SLC15A5	4	5	0	2	2	4	0	1	16	12	3	9	1	0
EPS8	6304	4821	5147	5140	8542	8498	2946	9267	6144	4776	4105	4286	7678	6855
PIK3C2G	34	6	9	2	42	12	8	75	4	8	12	12	113	8
AEBP2	2243	1742	1963	2426	2970	2709	1689	3737	2175	2208	1570	2355	2603	2198
PLEKHA5	2625	2187	3482	2919	2725	3220	2869	5894	2650	3100	2447	2884	3221	3920
LOC100506393	1	0	0	3	0	0	2	2	1	4	7	1	0	0
PDE3A	267	1543	269	1334	1360	2951	34	705	406	24	222	190	685	497
RECQL	4760	3511	4605	4600	9257	5356	2198	6450	5712	4513	3845	3672	6524	4612
SLCO1A2	185	6	262	133	25	144	253	56	251	805	451	468	91	112
SLCO1B1	10	0	7	2	0	3	4	0	4	11	3	6	0	0
SLCO1B7	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C2CD5	2667	2352	2341	2959	3224	3165	1226	4542	2393	2394	2229	2395	2822	2629
ETNK1	5947	5935	6404	8604	8944	9271	4457	13336	6471	7372	6180	6654	7370	8764
ST8SIA1	48	36	202	143	24	55	172	212	72	94	110	164	225	86
LOC101928441	4	0	0	0	0	1	6	2	0	2	3	8	0	0
LOC101928471	24	43	7	42	10	42	2	14	6	19	27	14	9	47
BCAT1	17700	13067	22245	29418	60838	32434	12387	45544	34350	20433	22368	18127	34856	33483
CASC1	11	17	6	16	11	30	10	54	24	22	10	28	23	7
LMNTD1	27	8	15	2	43	19	3	9	106	2	6	6	20	3
ITPR2	8839	6530	11595	11169	9377	9960	6448	15995	8006	10104	9273	7309	11717	11230
TM7SF3	4390	3644	7603	4024	8389	3421	2671	5591	5696	4714	4191	3897	6871	4848
ARNTL2	7306	2363	6299	4060	11019	4280	2874	8432	7112	4256	3932	4885	7554	5185
PPFIBP1	18043	12921	22609	16920	23369	17132	12756	22942	17148	18410	14493	13076	23384	23504
MANSC4	0	4	5	8	6	12	4	6	8	7	2	22	2	5
CCDC91	911	920	1248	919	1718	1261	1481	1959	1000	1448	1188	1445	1274	1597
OVCH1-AS1	8	23	11	15	8	19	4	6	7	5	11	11	17	17
OVCH1	3	94	5	55	16	26	0	5	9	1	4	2	4	46
TMTC1	1330	4838	1161	5085	2773	3392	642	726	2282	429	1424	772	3011	5414
IPO8	5442	4229	6166	6046	9909	5643	2381	9720	6997	4153	4619	4411	7373	6248
LOC645485	32	19	18	14	6	22	10	17	17	20	8	23	22	6
DDX11-AS1	118	20	29	45	42	48	22	38	59	36	29	33	42	61
DENND5B	3394	2823	5834	3311	5919	2995	2858	5005	4947	4655	3667	4049	3977	4704
AMN1	365	476	381	702	427	710	312	684	442	415	366	397	611	572
KIAA1551	4529	12556	4917	10600	5447	8912	3465	17033	5120	7030	6820	5932	8664	8152
FGD4	10548	5712	5860	7632	16775	8575	4540	8152	9350	6562	4170	5077	10356	5675
PKP2	2507	3011	2502	2522	4417	1381	641	2503	3944	1787	2188	1529	2324	2494
KIF21A	3715	2189	5217	3158	4003	4037	2677	5349	4001	4464	3449	4949	3079	3907
CPNE8	286	229	962	117	704	256	551	1425	444	661	654	916	927	605
C12orf40	15	39	18	29	20	27	0	18	17	22	14	36	32	20
SLC2A13	861	926	1404	1319	2684	1082	799	1657	1190	1101	829	657	1401	1597
LRRK2	84	21	256	8	61	49	230	327	77	471	222	273	141	99
ABCD2	11	24	17	12	2	39	2	23	12	17	12	12	22	14
CNTN1	388	168	128	44	2456	41	36	60	201	839	795	429	998	191
PRICKLE1	4279	2953	4472	4114	4203	2724	5168	10969	2855	3776	2551	2584	4460	2744
PPHLN1	3060	2533	3737	2807	5476	3404	2257	4755	3452	3231	2538	2813	3623	3191
YAF2	1912	1787	2319	2393	2017	2255	2596	2838	2028	2451	2347	2369	2033	2441
ADAMTS20	16	21	9	33	23	19	3	12	12	6	11	0	11	6
TMEM117	514	661	778	592	1157	547	662	965	756	639	655	503	842	933
IRAK4	1261	1232	1406	1271	2428	1631	1122	2542	1541	2020	1547	1735	1628	1597
ANO6	8350	8599	11800	8474	28167	12265	7730	20083	11552	10248	9747	7542	16456	10303
SLC38A1	35185	23104	41596	18930	64855	34885	25359	78615	43383	50565	32882	35235	50692	46740
LOC100288798	234	203	180	285	182	339	167	316	212	388	146	272	239	357
PCED1B	291	382	387	286	335	334	673	371	382	471	449	335	327	475
SENP1	2242	1572	1456	1699	3381	2372	751	2827	2497	1631	1538	1567	2250	1864
C12orf54	2	4	19	0	12	0	4	0	67	0	20	0	16	2
LINC00935	2	1	0	0	3	1	0	1	2	6	0	0	0	2
FMNL3	4392	4461	5232	6002	5603	7628	1944	7421	4920	4312	4423	3166	7097	5732
SPATS2	2733	3306	3502	3132	3839	3619	1974	4163	2849	3745	3357	2922	3407	4270
KCNH3	23	57	20	48	15	31	29	9	17	8	53	35	10	40
KMT2D	11432	13792	16442	10855	6620	13658	14525	10600	9656	13884	13374	13057	10457	10511
NCKAP5L	1906	3522	3472	2252	1646	2534	4001	2239	1932	2477	3386	2489	2316	2950
TMPRSS12	0	2	0	2	0	7	0	2	0	0	4	0	2	0
FAM186A	16	27	15	28	6	14	68	10	24	37	17	16	17	24
LIMA1	19118	15596	22541	12382	45459	19404	19107	27224	27693	22634	21036	15747	30872	17903
ASIC1	304	374	439	758	333	498	158	320	279	284	297	301	162	511
LARP4	10807	6426	8541	8760	17571	10203	4243	11748	11568	8473	6321	8586	11395	8676
DIP2B	8539	8397	11588	8104	16343	8526	5283	16177	12874	9372	9225	7722	12996	10278
TFCP2	1935	1488	2468	1663	2904	1988	1078	3038	2300	1776	1566	1628	2081	1825
SMAGP	1250	510	1242	649	1248	722	495	1583	959	808	760	624	1513	847
SLC4A8	1461	1052	1535	963	1673	1352	669	1654	1679	1595	959	989	1880	1250
SCN8A	2216	4117	2867	2334	2872	2815	727	1213	3405	4017	3496	1824	2581	4098
GALNT6	4020	2874	6889	2797	6885	3481	3244	3951	6988	4442	3900	3079	4494	6031
KRT75	0	0	6	0	28	0	0	0	4	0	0	1	5	0
KRT18	15374	23696	34861	14739	60521	29714	10169	37049	20738	13193	19231	13817	27179	13347
KRT86	3	1	2	2	13	18	24	7	6	12	11	8	27	10
KRT79	19	39	62	42	8	47	16	10	95	20	33	10	23	121
KRT77	0	2	0	0	2	0	0	0	0	4	0	0	0	0
PCBP2	11733	8630	11222	10226	12627	12912	8491	21938	11135	10344	8976	9397	14129	13213
ATF7	2282	2647	2992	2232	2770	2819	1946	4206	2535	2768	2298	2155	3401	2771
RARG	586	948	583	1242	651	1342	407	1291	642	520	713	722	936	1127
HOXC9	484	545	441	339	371	493	263	256	358	368	487	335	254	309
CBX5	44318	18876	37025	25998	57043	34483	9472	64933	43464	25560	21285	23878	57375	23856
LOC102724050	40	37	17	33	29	70	14	19	36	32	34	38	14	13
NCKAP1L	2	0	0	0	0	2	0	0	4	0	4	0	2	0
TMEM198B	272	877	354	731	157	768	603	512	336	496	592	557	343	794
MMP19	66	261	171	227	36	172	36	541	166	159	88	85	168	301
ERBB3	280	64	274	142	221	213	553	833	128	427	158	644	303	332
CDK2	4509	1559	3659	2932	8791	2618	811	3645	4457	2072	2229	2515	3776	2183
ITGA7	356	401	305	442	74	308	110	284	273	160	280	189	108	477
LRP1	10508	39795	52283	39228	12787	25070	37159	24409	25351	38081	49267	23527	29542	48935
BAZ2A	8843	9352	13939	10224	9787	12773	8269	13305	9970	12609	10340	11244	12075	11924
TAC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP1-AS	16	18	8	18	18	21	4	4	9	39	16	23	3	4
DCTN2	8662	6824	10831	7015	11921	8356	7274	15194	11716	9794	8879	7355	12321	8798
TSFM	1210	722	1424	1041	1858	998	605	1631	1472	882	718	875	1469	1144
AVIL	173	372	173	363	148	350	126	295	166	181	213	208	154	208
LOC100506844	254	119	168	238	256	265	114	356	241	151	200	239	204	264
LOC101927653	2	10	1	2	4	6	11	4	2	7	1	9	6	5
LOC100506869	0	9	4	2	0	10	4	0	6	1	8	6	1	3
SLC16A7	4949	1742	2824	3136	11430	3552	1509	3793	5842	2898	2107	2409	5300	4009
USP15	5383	4295	6221	5092	10056	6255	4197	8073	6934	6010	5011	5506	7359	5683
FAM19A2	14	26	22	16	6	29	18	20	21	8	26	20	36	22
PPM1H	1853	766	8175	930	2886	1197	4216	5438	2638	5674	2750	3077	2405	2268
C12orf56	55	17	49	88	13	45	19	47	59	28	33	33	27	38
SRGAP1	6329	5457	11207	6073	6348	6056	7183	17644	7543	8122	6825	6490	8318	8756
TBK1	2675	2007	2784	2909	4239	3010	2132	4465	3068	3045	2478	2838	3141	3697
MSRB3	8472	7430	8988	8408	21342	7250	3525	8970	12717	6144	6294	4968	12083	7857
LOC100507065	120	70	67	71	92	66	21	49	83	59	75	55	135	112
GNS	12707	13962	23914	14505	21332	16407	14938	33237	20551	24449	21346	17393	23754	23546
TBC1D30	12	42	13	20	28	25	0	18	33	31	23	32	24	36
IRAK3	1253	161	1444	1838	356	529	3163	1060	3168	1333	636	947	1004	6419
GRIP1	491	621	840	485	807	495	518	1183	565	868	581	633	694	689
RPSAP52	315	208	241	220	174	303	117	239	216	232	243	150	256	386
HELB	354	357	657	729	172	754	393	794	340	485	526	485	473	683
HMGA2	31270	18080	32682	20709	33872	21412	19884	52277	26452	20290	18006	15672	40940	43537
IFNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100507250	34	34	44	88	27	35	16	23	30	31	23	18	21	38
CPM	764	589	1396	355	443	560	1316	1971	1370	1152	1472	1759	875	1953
CCT2	21253	9997	20650	14203	34059	15297	7372	29167	26120	12382	10987	12550	24988	13292
LOC101928002	4	0	2	0	0	9	24	2	3	3	15	2	5	1
CNOT2	4447	4245	4912	4987	7441	5551	2865	9012	5248	4892	4263	4222	5805	5935
PTPRB	3768	1485	3577	560	7841	1459	947	4807	2139	7325	2906	2069	5487	1924
KCNMB4	55	151	227	112	152	207	178	359	95	163	196	99	223	209
LGR5	34	6	16	0	30	58	10	20	30	44	6	46	20	4
TMEM19	2563	1243	2801	1292	3786	1468	1047	3914	2620	1716	1459	1448	3586	1478
TRHDE	3339	1648	3265	2042	5747	4096	1290	8980	449	1785	2482	2602	3667	2979
LOC100507377	0	2	0	0	0	0	0	0	0	0	0	0	3	0
CAPS2	262	204	192	313	180	303	185	579	181	293	285	360	222	343
GLIPR1L1	38	57	31	40	24	52	44	59	25	63	54	65	34	46
GLIPR1	15030	8545	15497	8428	20477	9592	6130	15890	18445	13439	10532	8238	19426	11492
ZDHHC17	6530	6719	6515	8719	14060	6984	3807	8518	6449	6976	6089	6245	6881	6597
OSBPL8	13181	9378	13234	11290	34327	12954	8567	22020	16290	11969	11471	9705	17352	14529
NAV3	9870	6793	9246	8238	19450	11524	2201	9069	13837	8662	9425	6893	10814	10434
PPP1R12A	11508	11447	12846	13137	24150	14220	8533	19506	15545	11179	9961	10240	14619	13722
LIN7A	72	119	54	113	66	188	111	804	136	154	147	196	240	137
ACSS3	280	70	128	248	138	216	409	820	156	620	188	543	340	396
PTPRQ	44	51	21	78	87	72	0	13	46	33	75	49	69	7
TMTC2	527	420	1121	764	980	1020	439	1250	646	922	727	580	799	633
LRRIQ1	111	127	182	116	92	220	101	412	127	134	164	112	147	155
CEP290	5081	4923	6240	5563	5828	6652	5319	7509	5705	6165	5278	6898	5677	5758
POC1B	1230	871	1615	1048	1772	1327	1393	2106	1224	1441	1245	1283	1647	1679
GALNT4	56	57	89	49	39	69	53	72	81	37	59	34	53	31
ATP2B1	7734	8366	8317	6512	14957	8871	3109	12942	11534	9415	8526	6412	9167	12718
POC1B-GALNT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTG1	2740	3599	4589	2726	4281	5285	5327	10886	3910	5212	5626	4294	4678	8082
LINC01619	13	16	8	6	17	39	6	42	34	24	28	24	21	13
EEA1	8624	4925	9786	5463	11032	7269	6430	13173	9314	10765	8646	8282	11204	12204
CRADD	354	305	324	255	468	229	245	485	403	314	306	233	393	391
LOC101928731	72	158	80	110	78	67	53	28	43	87	66	93	47	52
LOC643339	0	5	2	2	0	5	2	4	6	0	0	8	4	2
TMCC3	2365	1213	3840	1241	583	1103	2560	4637	1767	2099	2249	1922	2536	2495
CEP83	1508	1054	1169	1280	1374	2040	827	1627	1382	1043	992	1071	1210	1171
PLXNC1	356	251	195	367	258	426	98	249	357	221	182	211	226	326
LOC105369921	0	5	0	4	2	8	0	1	5	0	10	3	0	4
VEZT	6113	5013	10747	6285	9982	7036	6591	13664	7022	9716	7242	6707	8839	6823
FGD6	5050	3982	9403	7396	6553	5816	13749	16681	5635	8809	8101	6992	7951	6466
USP44	145	66	124	128	176	167	221	700	40	118	66	201	162	331
AMDHD1	25	6	34	6	15	6	31	22	71	48	17	47	30	21
NTN4	4042	3458	8361	1448	18511	6417	12756	18450	5879	8479	4871	6458	16631	5003
LOC105369920	0	0	0	0	0	0	3	0	0	0	0	0	0	0
CFAP54	93	419	457	260	65	265	196	603	160	441	367	485	623	429
ELK3	10099	6863	8306	8595	11297	10369	4953	14983	9174	6608	7183	5984	11441	10218
CDK17	4472	4616	6384	3997	5888	5753	5434	9135	4930	7703	8118	6431	8935	6773
RMST	8	9	13	13	18	7	8	8	8	4	4	7	14	5
APAF1	2467	2462	4036	2964	4020	2956	1887	4684	2787	2545	1882	2272	3085	2764
UHRF1BP1L	4295	2613	3130	2521	6331	3464	1969	4882	4856	3385	3019	3116	4311	4371
NR1H4	0	0	18	0	0	0	7	10	20	13	6	16	1	12
SLC17A8	0	0	2	0	0	2	0	9	0	2	6	12	0	0
ANO4	9	9	30	6	26	26	0	175	18	23	24	2	16	47
SLC5A8	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NUP37	1258	673	1173	1038	1983	1101	451	2062	1392	719	599	823	1644	978
CHPT1	1217	868	967	975	1842	807	594	1436	926	714	711	725	1028	1151
PAH	0	0	0	0	0	0	0	1	0	0	0	4	0	0
LOC101929058	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNRD1	67073	31264	54478	58257	100270	68630	33172	79243	89636	86317	60849	71892	58817	72146
STAB2	47	85	40	60	35	49	18	50	22	78	40	28	38	7
HCFC2	1624	1772	1478	2118	3285	2283	719	2642	2295	1830	1531	1801	2199	1487
HSP90B1	61313	54290	98357	38178	86323	109324	45830	127027	113464	69697	69772	81721	87684	117146
NT5DC3	4171	5548	4263	4212	5335	4054	1294	7889	3813	3937	2403	2955	5331	2920
C12orf45	470	211	433	304	687	298	211	735	508	322	279	271	436	320
WASHC4	10551	8141	11313	9111	16578	12823	8477	19411	14596	13345	8688	10833	14751	12548
SLC41A2	1380	888	3110	1304	1784	1535	2751	3474	2404	3612	2384	2374	2201	2075
POLR3B	1362	1149	1471	1110	2661	1220	618	1770	1889	1394	1210	1184	1621	1250
RIC8B	1967	1630	2054	2100	2539	1908	1560	3249	2859	2170	1631	2069	2034	2740
RFX4	28	24	27	19	12	37	27	9	33	20	37	20	20	18
CRY1	2112	1204	2084	1541	2468	1743	1442	2529	2665	1896	1340	1481	2037	1827
PRDM4	4286	2851	4613	2544	5042	4176	3255	7544	4942	4712	4069	4851	5368	4378
SART3	4147	2968	4107	3920	5946	4631	2241	6297	4721	3851	3101	4660	4239	4354
LOC101929162	159	143	165	92	97	158	158	153	133	148	166	146	104	159
WSCD2	0	0	0	0	0	0	0	0	6	2	0	0	0	0
UBE3B	2824	3245	4492	3914	4040	3549	3202	5877	4136	3501	2704	2923	4020	4397
MYO1H	82	74	50	272	66	108	61	33	57	49	80	44	79	23
SSH1	11127	15346	14860	12211	15705	16488	10273	17333	12769	16332	16195	10415	16478	16335
SVOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPV4	65	238	72	347	26	160	24	271	111	155	99	62	111	169
ATP2A2	27501	20068	33354	20991	48953	29835	15417	33899	36339	25122	26332	21448	30448	30084
C12orf76	309	275	336	390	268	374	303	586	300	349	272	293	446	432
ARPC3	6480	5057	8889	6541	12232	6573	5526	13150	8059	6786	5890	5100	10409	7929
PPTC7	2038	1469	1915	1851	2924	2365	1070	3033	2448	1890	1719	1875	2146	2186
IFT81	740	1032	779	1122	1130	1254	537	1985	976	791	855	741	1105	1163
FAM109A	809	764	1977	498	642	636	1317	1565	822	1246	1301	815	1161	809
ATXN2	3367	3514	4063	3729	3925	4716	3123	4728	3602	4103	3847	4019	3762	4141
CUX2	0	2	0	10	10	2	4	2	6	2	2	4	2	4
MAPKAPK5	1597	1149	1424	1311	2315	1734	1182	2333	1720	1302	1151	1265	1631	1419
ERP29	2892	2831	5630	3385	4054	3748	3209	5839	4030	3872	3671	3402	3368	6142
HECTD4	7841	9724	13667	9465	4839	8290	14193	10035	7013	10947	10029	9707	7122	10954
TRAFD1	1699	1872	2793	1948	3601	2313	1238	3484	2587	2533	2029	1945	2827	2465
RPL6	31404	20642	26486	27967	55235	25938	15844	49818	37391	20275	20478	19878	39364	28974
DTX1	0	18	28	7	2	0	16	16	2	0	2	2	14	14
OAS3	2679	492	3094	1005	1206	1464	891	863	4541	5088	1603	4401	4786	2097
IQCD	447	212	320	1251	37	318	884	439	497	243	200	241	293	1911
LHX5	0	0	0	0	0	2	1	0	0	0	0	2	0	0
SLC8B1	1417	1002	2065	1142	1248	1436	1224	1932	1734	1650	1529	1376	1492	1436
TBX5	2	0	0	0	0	0	0	0	0	0	0	1	0	0
MED13L	7761	11833	11255	14467	15665	14717	5222	18898	10136	10138	10807	8382	11870	13426
RNFT2	442	201	456	214	454	286	174	505	334	271	237	290	404	217
HRK	0	12	0	0	3	2	0	22	25	36	5	36	22	8
TESC-AS1	2	0	0	3	0	1	0	0	1	0	1	0	0	1
NOS1	0	4	0	2	0	0	0	8	0	0	2	0	0	0
KSR2	234	67	86	28	116	65	50	548	297	195	59	111	218	134
TAOK3	2657	2548	3073	2518	3373	3446	2397	4073	3196	3039	2989	2661	3289	3478
CIT	6165	1380	3173	2477	3417	3664	275	5413	2400	2199	1920	1926	5902	2001
CCDC60	3	0	15	0	0	0	34	1	0	4	0	4	2	6
TMEM233	5	2	36	4	0	4	153	20	4	4	0	31	12	19
BICDL1	182	53	682	50	34	35	1857	215	143	1040	508	573	186	127
RNF10	5945	5018	9712	5769	7152	6774	5891	11060	6772	8210	6844	7879	8542	8540
SPPL3	1761	1686	2956	1644	2501	2168	1579	4490	2037	2736	2042	1934	2681	2338
WDR66	401	419	382	302	351	282	504	587	544	686	485	606	501	750
KDM2B	1966	1468	1517	1417	2023	1835	1039	2049	1687	1353	1375	1354	1822	1444
TMEM120B	1894	1941	2248	2398	2462	1720	2093	1786	2233	1571	1893	1488	1714	1640
HPD	4	9	9	9	8	16	20	30	9	10	11	13	5	11
ANAPC5	8745	7068	8756	7944	13199	8680	4705	12995	10291	6561	6606	6154	12009	7366
MLXIP	7807	15464	17410	14071	7014	13798	10013	10652	8858	11745	15767	9969	11405	14566
CLIP1	10220	9025	13052	7520	17831	11281	9711	17313	11658	13203	12030	12060	14328	11056
PITPNM2	1003	1267	1325	1044	645	1061	1407	789	930	757	1203	1115	879	981
KNTC1	7419	2866	4959	6031	10201	5598	1646	7309	6126	3567	3234	4368	6710	3374
HIP1R	2817	3337	5414	2617	2007	2900	7042	5925	2203	4485	5366	4169	3369	3622
RILPL1	710	1135	660	912	692	928	950	586	656	673	959	833	542	910
GTF2H3	2476	1582	2569	1751	5118	2313	1220	3120	3335	2048	1646	1672	2984	2015
DNAH10	235	354	160	492	195	373	254	319	317	264	314	303	338	378
DHX37	2454	1547	2507	1464	2323	1606	1388	1971	2675	1385	1724	1654	2166	1514
AACS	1707	1691	3021	2114	2650	2979	1859	3219	2443	2988	2249	2656	2651	2736
SCARB1	1459	1096	2373	1410	1181	1839	1163	1605	1217	1758	1744	1304	1521	1940
NCOR2	4740	13740	10489	7723	3152	8204	14086	6224	4230	5906	11320	6583	6232	7756
LOC100996671	0	0	0	0	0	2	0	0	0	6	0	0	0	0
LOC101927592	0	0	0	0	0	1	4	0	2	0	0	2	2	6
LINC00508	0	1	0	0	0	4	0	0	4	0	0	0	0	0
LOC100996679	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLT1D1	0	0	4	0	4	0	0	0	0	2	0	0	0	0
RIMBP2	0	3	0	0	0	1	0	1	2	0	0	0	0	4
ADGRD1	0	0	0	0	2	0	0	0	5	1	2	0	1	0
SFSWAP	2439	2620	1762	2191	2307	2793	1713	2435	2042	1848	2082	2173	1984	2154
LOC101928416	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ULK1	1200	2889	2177	1890	661	2095	4299	2772	1020	1734	3258	2307	1626	2834
EP400	7153	6461	8233	6700	5389	8190	7455	8807	6066	6926	6812	7269	7255	6441
GALNT9	7	9	4	2	0	2	0	0	0	0	8	0	2	6
CHFR	2555	2932	3243	2547	2536	2757	4842	3200	2653	3182	3567	3358	2995	2708
LOC100288778	1250	1742	928	1916	809	1440	2095	1180	1164	1170	1006	1394	978	1576
FAM138D	0	0	5	0	0	0	2	1	1	2	2	0	2	8
LOC574538	5	12	14	14	8	7	8	1	13	5	17	3	0	3
SLC6A13	59	73	134	42	4	39	136	100	93	97	119	183	12	81
SLC6A12	8	17	30	5	2	10	28	6	49	79	22	119	28	14
LOC101929384	0	0	0	0	0	6	0	0	0	2	2	0	0	0
LOC102723544	9	7	5	5	0	5	0	1	6	6	4	13	2	13
LOC100049716	182	103	189	96	134	146	143	287	254	280	151	253	205	208
LOC105369595	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NINJ2	27	33	31	30	20	44	32	74	50	26	32	55	64	71
FBXL14	503	618	563	548	317	392	507	470	354	369	473	328	439	416
LINC00942	20	49	165	46	217	49	29	22	159	211	332	162	384	233
MIR3649	2	5	1	1	4	1	0	0	1	7	0	4	2	0
WNT5B	2139	1928	3432	1751	5970	1478	1547	1752	2352	2784	1875	1274	4407	2287
LRTM2	2	0	0	0	0	0	2	4	2	0	0	0	0	8
LINC00940	2	0	4	5	5	1	0	2	0	2	4	0	0	1
CACNA1C-IT2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CACNA1C-AS4	0	3	3	1	0	0	0	0	2	0	1	1	0	8
CACNA1C-IT3	3	4	0	2	0	0	0	0	4	3	0	1	0	7
CACNA1C-AS2	0	0	0	2	0	2	0	0	0	0	0	1	2	1
LOC283440	1	4	2	18	9	9	10	3	6	7	0	5	2	9
CACNA1C-AS1	0	0	0	4	0	0	0	1	0	4	1	0	0	1
NRIP2	139	298	137	264	123	293	155	132	112	148	155	188	118	183
ITFG2	1326	1317	1176	1123	1526	1243	637	1838	1381	1070	1022	1003	1316	1291
RHNO1	1837	630	1369	760	2348	1454	749	2337	1369	1264	1028	1421	1779	1273
FOXM1	6401	988	3271	1654	3327	2685	287	3456	2280	2015	1887	2387	5289	1981
FKBP4	5577	2946	7324	6384	7964	3758	2433	5216	6239	3235	3411	3811	4938	4678
LOC100507424	20	54	14	41	20	54	9	19	19	13	25	32	15	26
THCAT155	0	2	0	0	0	2	4	0	6	2	0	0	0	0
CCND2	1831	3075	41275	1161	11685	489	20743	6277	19459	23700	17331	9219	20648	16442
CCND2-AS1	4	0	22	2	13	0	16	8	18	24	22	26	21	15
FGF6	0	0	0	0	0	0	0	0	0	0	2	2	0	0
FGF23	6	15	2	6	2	4	1	1	6	10	4	20	2	8
C12orf4	2685	2042	2679	2322	5228	2589	1221	3444	3928	2154	2107	2433	3129	2105
RAD51AP1	1516	311	886	929	2889	839	112	1001	1340	479	512	621	1260	561
LOC101929549	6	14	3	12	0	1	3	5	3	5	7	3	14	7
NDUFA9	2902	1716	2953	2007	4434	2643	1311	4950	3341	1914	1813	1895	3954	2552
AKAP3	31	22	43	29	35	28	47	87	79	21	36	121	46	53
KCNA6	2	8	82	98	28	34	0	8	8	10	20	8	2	16
KCNA1	0	0	0	0	0	0	0	0	2	0	0	0	2	2
KCNA5	0	0	0	2	0	4	0	0	0	2	0	0	0	0
LOC101929584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTF3	21	16	207	2	40	23	218	299	49	249	61	102	63	33
CD9	4234	2338	6673	1831	5382	4066	3307	7750	5012	6224	3810	3075	6591	4206
SCNN1A	272	270	41	179	52	432	337	2510	193	207	152	207	445	176
TNFRSF1A	6155	7601	9335	7287	6437	7775	4612	8439	9026	5367	7331	4875	7933	8851
LTBR	3599	3786	5922	3907	4552	3852	4586	4493	5461	4957	6134	4119	4861	5624
IFFO1	1483	2227	1425	1545	1526	1526	1600	1064	1422	1332	1736	1478	1284	1505
VAMP1	1153	1184	1446	996	494	638	1384	598	1418	744	1849	1950	688	1132
MRPL51	5555	2957	5159	3663	8365	4039	2102	6979	6647	3418	3267	3142	6615	4129
SCARNA10	11005	10747	10633	13515	9337	13901	5187	25570	7312	11254	11825	13582	10296	16383
CD27	16	19	10	21	4	25	18	17	12	12	15	38	12	12
NOP2	5302	2850	4279	2886	6477	3283	1800	3833	6003	3384	2536	3162	4389	2562
GAPDH	229525	118058	216295	133850	377635	171250	107924	287057	303391	136783	151028	119740	298234	179388
TAPBPL	378	412	344	574	368	828	508	785	421	528	538	358	706	676
NCAPD2	13159	3741	9219	5909	10821	7078	1965	13851	7757	6191	5175	5800	12266	7549
